Matrix                       ,Thread ,RCM ,RACE_efficiency ,Iter ,ResNorm       ,ErrNorm       ,ActualIter ,Preprocessing-time ,Perf_COLOR_KACZ_Q0 ,Perf_COLOR_KACZ_Q25 ,Perf_COLOR_KACZ_Q50 ,Perf_COLOR_KACZ_Q75 ,Perf_COLOR_KACZ_Q100 
thermal2.mtx                 ,8      ,    ,=40             ,510  , 2.075605e-06 , 9.012782e-04 , 510       ,0.905281           ,8.846960           ,8.842076            ,8.838401            ,8.827649            ,8.817126
thermal2.mtx                 ,16     ,    ,=40             ,510  , 2.076041e-06 , 9.012782e-04 , 510       ,0.958928           ,17.324567          ,17.313425           ,17.291855           ,17.263099           ,17.227374
thermal2.mtx                 ,32     ,    ,=40             ,510  , 2.076916e-06 , 9.012782e-04 , 510       ,0.997591           ,32.296621          ,32.225710           ,32.103409           ,31.954360           ,31.861032
thermal2.mtx                 ,38     ,    ,=40             ,510  , 2.077902e-06 , 9.012782e-04 , 510       ,1.015348           ,37.790278          ,37.558420           ,37.334752           ,37.169201           ,36.780170
Serena.mtx                   ,1      ,    ,=40             ,510  , 1.213620e+07 , 8.367408e-04 , 510       ,0.700544           ,2.141583           ,2.141503            ,2.141419            ,2.141369            ,2.141233
Serena.mtx                   ,2      ,    ,=40             ,510  , 1.214828e+07 , 8.367409e-04 , 510       ,0.429341           ,4.071421           ,4.071211            ,4.070680            ,4.070456            ,4.069239
Serena.mtx                   ,4      ,    ,=40             ,510  , 1.228797e+07 , 8.367408e-04 , 510       ,0.298399           ,7.704074           ,7.703989            ,7.702895            ,7.701087            ,7.698635
Serena.mtx                   ,8      ,    ,=40             ,510  , 1.233514e+07 , 8.367420e-04 , 510       ,0.337281           ,11.563669          ,11.563009           ,11.562295           ,11.559233           ,11.554920
Serena.mtx                   ,16     ,    ,=40             ,510  , 1.228161e+07 , 8.367429e-04 , 510       ,0.339143           ,21.194750          ,21.193929           ,21.185863           ,21.181507           ,21.181319
Serena.mtx                   ,32     ,    ,=40             ,510  , 1.227728e+07 , 8.367417e-04 , 510       ,0.447478           ,42.040175          ,42.030271           ,42.016250           ,41.963485           ,41.957583
Serena.mtx                   ,38     ,    ,=40             ,510  , 1.249962e+07 , 8.367405e-04 , 510       ,0.455187           ,42.524507          ,42.503849           ,42.492982           ,42.480961           ,42.470525
Geo_1438.mtx                 ,1      ,    ,=80+80          ,510  , 9.236369e+05 , 8.126741e-04 , 510       ,3.553436           ,2.146769           ,2.146494            ,2.146381            ,2.145612            ,2.144806
Geo_1438.mtx                 ,2      ,    ,=80+80          ,510  , 9.236441e+05 , 8.126741e-04 , 510       ,3.203290           ,4.210188           ,4.209823            ,4.209517            ,4.208680            ,4.204197
Geo_1438.mtx                 ,4      ,    ,=80+80          ,510  , 9.236598e+05 , 8.126741e-04 , 510       ,3.019892           ,7.923199           ,7.920606            ,7.920124            ,7.919577            ,7.914242
Geo_1438.mtx                 ,8      ,    ,=80+80          ,510  , 9.242753e+05 , 8.126741e-04 , 510       ,2.925845           ,14.960041          ,14.955074           ,14.953576           ,14.949282           ,14.916294
Geo_1438.mtx                 ,16     ,    ,=80+80          ,510  , 9.299519e+05 , 8.126741e-04 , 510       ,2.933925           ,23.137034          ,23.132210           ,23.125452           ,23.124253           ,23.106641
Geo_1438.mtx                 ,32     ,    ,=80+80          ,510  , 9.415742e+05 , 8.126742e-04 , 510       ,3.147242           ,40.425622          ,40.416878           ,40.401493           ,40.380962           ,40.351671
Geo_1438.mtx                 ,38     ,    ,=80+80          ,510  , 9.534275e+05 , 8.126732e-04 , 510       ,3.110850           ,41.422584          ,41.410179           ,41.403186           ,41.389262           ,41.125941
Hook_1498.mtx                ,1      ,    ,=80+80          ,510  , 1.215536e-01 , 7.886818e-04 , 510       ,0.678620           ,2.120783           ,2.120653            ,2.120603            ,2.120501            ,2.120182
Hook_1498.mtx                ,2      ,    ,=80+80          ,510  , 1.216719e-01 , 7.886819e-04 , 510       ,0.418697           ,4.191740           ,4.191352            ,4.190968            ,4.190555            ,4.188139
Hook_1498.mtx                ,4      ,    ,=80+80          ,510  , 1.218158e-01 , 7.886820e-04 , 510       ,0.295975           ,8.097446           ,8.095806            ,8.093922            ,8.092538            ,8.090782
Hook_1498.mtx                ,8      ,    ,=80+80          ,510  , 1.222408e-01 , 7.886820e-04 , 510       ,0.239770           ,14.969346          ,14.965513           ,14.963725           ,14.958668           ,14.956983
Hook_1498.mtx                ,16     ,    ,=80+80          ,510  , 1.228470e-01 , 7.886819e-04 , 510       ,0.250839           ,25.458414          ,25.454905           ,25.450783           ,25.445417           ,25.418854
Hook_1498.mtx                ,32     ,    ,=80+80          ,510  , 1.250693e-01 , 7.886900e-04 , 510       ,0.425240           ,41.293369          ,41.255740           ,41.247500           ,41.240105           ,41.214764
Hook_1498.mtx                ,38     ,    ,=80+80          ,510  , 1.251695e-01 , 7.886903e-04 , 510       ,0.480502           ,41.109536          ,41.090052           ,41.069621           ,41.052515           ,40.800320
ML_Geer.mtx                  ,1      ,    ,=80+80          ,510  , 1.188009e+01 , 8.075611e-04 , 510       ,10.409314          ,2.320960           ,2.320796            ,2.320597            ,2.320459            ,2.319607
